"rep","n","sce","method","bias_rel_pct","cover_pct","auc"
1,50,1,"GLM",26.2864321405307,100,0.647435897435897
1,50,1,"IV-TS",123.960709063146,100,0.538461538461538
1,50,1,"IV-G",NA,NA,NA
1,50,1,"IV-GMM",805.846248451731,100,0.647435897435897
2,50,1,"GLM",54.1371824521608,100,0.694397283531409
2,50,1,"IV-TS",20.3971106855413,100,0.50509337860781
2,50,1,"IV-G",85.6158888441873,100,0.694397283531409
2,50,1,"IV-GMM",21.1526678997449,100,0.694397283531409
3,50,1,"GLM",23.9237879728159,100,0.623263888888889
3,50,1,"IV-TS",30.3275625168214,100,0.53125
3,50,1,"IV-G",37.3618439567514,100,0.623263888888889
3,50,1,"IV-GMM",33.2455352864223,100,0.623263888888889
4,50,1,"GLM",869.352452980563,100,0.78
4,50,1,"IV-TS",29.6689520930764,100,0.62
4,50,1,"IV-G",NA,NA,NA
4,50,1,"IV-GMM",93.1195594047164,100,0.78
5,50,1,"GLM",20.7939947776581,100,0.600649350649351
5,50,1,"IV-TS",199.058426829947,100,0.568181818181818
5,50,1,"IV-G",NA,NA,NA
5,50,1,"IV-GMM",270.018014194695,100,0.399350649350649
6,50,1,"GLM",42.6315714956298,100,0.781609195402299
6,50,1,"IV-TS",123.490213326991,100,0.511494252873563
6,50,1,"IV-G",121.069025442695,100,0.781609195402299
6,50,1,"IV-GMM",124.005757487634,100,0.781609195402299
7,50,1,"GLM",49.0671768050586,100,0.709935897435897
7,50,1,"IV-TS",75.1480809058045,100,0.620192307692308
7,50,1,"IV-G",52.2261571440407,100,0.709935897435897
7,50,1,"IV-GMM",944.818589394203,100,0.709935897435897
8,50,1,"GLM",8.96264976986866,100,0.64170692431562
8,50,1,"IV-TS",211.082540694392,100,0.578099838969404
8,50,1,"IV-G",NA,NA,NA
8,50,1,"IV-GMM",232.949979739296,100,0.35829307568438
9,50,1,"GLM",55.054639460587,100,0.810064935064935
9,50,1,"IV-TS",1.36627702716554,100,0.548701298701299
9,50,1,"IV-G",45.3474504887073,100,0.810064935064935
9,50,1,"IV-GMM",9.85955714650046,100,0.810064935064935
