"n","sce","method","bias_rel_pct","cover_pct","auc"
50,1,"GLM",237.367236643825,100,0.703549328006963
100,1,"GLM",72.0240108380962,96,0.70631357257699
500,1,"GLM",40.6688869702213,24,0.703674270658365
1000,1,"GLM",41.3916529717597,2,0.704655880675688
5000,1,"GLM",39.662662853269,0,0.703709919236704
10000,1,"GLM",39.1206877600755,0,0.702981466440955
50,2,"GLM",140.457474234021,96,0.742652796606014
100,2,"GLM",43.8597610089838,81,0.745822376026219
500,2,"GLM",36.9950526464206,15,0.746843681361688
1000,2,"GLM",37.9395264126652,0,0.746461829304834
5000,2,"GLM",36.1263447018631,0,0.746062509281604
10000,2,"GLM",36.4670900883017,0,0.746550794025651
50,3,"GLM",71.3806969121335,96,0.758890002227544
100,3,"GLM",31.4871212772314,87,0.755531975195655
500,3,"GLM",24.8024309624306,42,0.758780699806858
1000,3,"GLM",22.2457230668077,27,0.755363580746917
5000,3,"GLM",22.445098291782,0,0.756230337174173
10000,3,"GLM",21.5877695543587,0,0.754612553689773
50,4,"GLM",44.4808561655254,94,0.762892564073423
100,4,"GLM",22.0056283763037,95,0.750691863196151
500,4,"GLM",10.8353407620957,88,0.745970938556868
1000,4,"GLM",10.1353160723241,81,0.746778380406008
5000,4,"GLM",7.53221112815514,36,0.744315808879942
10000,4,"GLM",7.55180359358508,10,0.744437067219327
50,5,"GLM",28.0209729506781,95,0.724785888223922
100,5,"GLM",18.5849124037354,96,0.718277002518021
500,5,"GLM",7.39859735800856,96,0.731196090890641
1000,5,"GLM",5.95165317205594,94,0.727952793941144
5000,5,"GLM",2.54808210689686,96,0.729919496444224
10000,5,"GLM",1.52532349173611,97,0.730161602402325
50,1,"IV-G",173.156135760992,86.8852459016394,0.645645851197747
100,1,"IV-G",95.1209601123125,98.6486486486486,0.672264632986002
500,1,"IV-G",45.5201998214365,97.9591836734694,0.691118258070338
1000,1,"IV-G",29.1144928216316,95,0.693319702889412
5000,1,"IV-G",12.7769213461934,94,0.703709919236704
10000,1,"IV-G",10.6614496560304,96,0.702981466440955
50,2,"IV-G",172.309665067233,90.7894736842105,0.701735654672159
100,2,"IV-G",58.3445198760442,98.9473684210526,0.735280261790015
500,2,"IV-G",21.866846467354,95,0.746843681361688
1000,2,"IV-G",16.9967589315441,94,0.746461829304834
5000,2,"IV-G",9.85847890027221,85,0.746062509281604
10000,2,"IV-G",7.06314215038057,87,0.746550794025651
